ノードＩＤ,緯度経度桁数コード,緯度,経度,高さ
00001B000000000309CED02662DF7FC1,3,35.42.33.602,139.45.35.875,0,
00001B000000000309CF3CA662C6FFC1,3,35.42.55.341,139.45.30.952,0,
00001B000000000309CEE22662D9FFC1,3,35.42.37.221,139.45.34.749,0,
00001B000000000309CEC32662F0FFC1,3,35.42.31.078,139.45.39.366,0,
00001B000000000309CED5A662EDFFC1,3,35.42.34.776,139.45.38.741,0,
00001B000000000309CEF4A662837FC1,3,35.42.40.999,139.45.17.416,0,
00001B000000000309CED8A662BEFFC1,3,35.42.35.390,139.45.29.305,0,
00001B000000000309CEA1A662E17FC1,3,35.42.24.341,139.45.36.227,0,
00001B000000000309CEABA662D9FFC1,3,35.42.26.300,139.45.34.795,0,
00001B000000000309CEA1A662DAFFC1,3,35.42.24.351,139.45.34.999,0,
00001B000000000309CEADA66318FFC1,3,35.42.26.734,139.45.47.348,0,
00001B000000000309CEC62662C3FFC1,3,35.42.31.682,139.45.30.342,0,
00001B000000000309CEABA662DAFFC1,3,35.42.26.313,139.45.34.971,0,
00001B000000000309CEC6266322FFC1,3,35.42.31.665,139.45.49.394,0,
00001B000000000309CF16A662A3FFC1,3,35.42.47.750,139.45.23.909,0,
00001B000000000309CF15A662A5FFC1,3,35.42.47.521,139.45.24.305,0,
00001B000000000309CF132662C0FFC1,3,35.42.47.025,139.45.29.733,0,
00001B000000000309CEF4A6629FFFC1,3,35.42.40.900,139.45.23.149,0,
00001B000000000309CEF0A6629EFFC1,3,35.42.40.140,139.45.22.951,0,
00001B000000000309CED6A662A2FFC1,3,35.42.34.945,139.45.23.753,0,
00001B000000000309CEB32662D5FFC1,3,35.42.27.881,139.45.33.991,0,
00001B000000000309CEB12662D4FFC1,3,35.42.27.480,139.45.33.720,0,
00001B000000000309CEAF2662D4FFC1,3,35.42.27.089,139.45.33.736,0,
00001B000000000309CEB5A662F37FC1,3,35.42.28.335,139.45.39.821,0,
00001B000000000309CEAC2662F57FC1,3,35.42.26.439,139.45.40.247,0,
00001B000000000309CEAC2662E27FC1,3,35.42.26.473,139.45.36.457,0,
00001B000000000309CF192662ABFFC1,3,35.42.48.234,139.45.25.583,0,
00001B000000000309CF232662BDFFC1,3,35.42.50.270,139.45.29.157,0,
00001B000000000309CEEC26628C7FC1,3,35.42.39.298,139.45.19.205,0,
00001B000000000309CEEC26628BFFC1,3,35.42.39.271,139.45.19.133,0,
00001B000000000309CEF3A662A1FFC1,3,35.42.40.781,139.45.23.537,0,
00001B000000000309CEB32662D6FFC1,3,35.42.27.879,139.45.34.153,0,
00001B000000000309CED3A662E77FC1,3,35.42.34.313,139.45.37.446,0,
00001B000000000309CEE82662E27FC1,3,35.42.38.404,139.45.36.404,0,
00001B000000000309CEE4A662E2FFC1,3,35.42.37.720,139.45.36.584,0,
00001B000000000309CEE42662DF7FC1,3,35.42.37.600,139.45.35.874,0,
00001B000000000309CF012662DB7FC1,3,35.42.43.428,139.45.35.085,0,
00001B000000000309CF11A662D77FC1,3,35.42.46.723,139.45.34.222,0,
00001B000000000309CF112662D3FFC1,3,35.42.46.634,139.45.33.524,0,
